title,director,genre,cast,rating,year,description
Article 15,Anubhav Sinha,Social/Drama,"Ayushmann Khurrana, Isha Talwar",8.1,2019,Caste discrimination investigation
Gully Boy,Zoya Akhtar,Musical/Drama,"Ranveer Singh, Alia Bhatt",8.0,2019,Street rapper's journey
Badhaai Ho,Amit Sharma,Comedy/Drama,"Ayushmann Khurrana, Sanya Malhotra",7.9,2018,Middle-aged pregnancy comedy
Stree,Amar Kaushik,Comedy/Horror,"Rajkummar Rao, Shraddha Kapoor",7.8,2018,Small town haunted by witch
Tumbbad,Rahi Anil Barve,Fantasy/Horror,"Sohum Shah, Anita Datea",8.0,2018,Folklore horror in 1918
Newton,Amit Masurkar,Comedy/Drama,"Rajkummar Rao, Pankaj Tripathi",7.9,2017,Clerk conducts elections in Maoist area
Hindi Medium,Saket Chaudhary,Comedy/Drama,"Irrfan Khan, Saba Qamar",7.9,2017,Parents struggle for daughter's admission
Bareilly Ki Barfi,Ashwiny Iyer Tiwari,Comedy/Romance,"Ayushmann Khurrana, Kriti Sanon",7.6,2017,Small-town romance mix-up
Shubh Mangal Saavdhan,R.S. Prasanna,Comedy/Romance,"Ayushmann Khurrana, Bhumi Pednekar",7.5,2017,Erectile dysfunction comedy
Sonchiriya,Abhishek Chaubey,Western/Drama,"Sushant Singh Rajput, Bhumi Pednekar",7.9,2019,Dacoits in Chambal valley
Raazi,Meghna Gulzar,Thriller/Spy,"Alia Bhatt, Vicky Kaushal",8.0,2018,Indian spy marries Pakistani
URI: The Surgical Strike,Aditya Dhar,Action/War,"Vicky Kaushal, Paresh Rawal",8.2,2019,Surgical strike retaliation
Padmaavat,Sanjay Leela Bhansali,Period/Drama,"Deepika Padukone, Ranveer Singh",7.0,2018,Rajput queen honor
Bajirao Mastani,Sanjay Leela Bhansali,Period/Drama,"Ranveer Singh, Deepika Padukone",7.3,2015,Peshwa love story
Devdas,Sanjay Leela Bhansali,Period/Romance,"Shah Rukh Khan, Aishwarya Rai",7.6,2002,Tragic love triangle
Lagaan,Ashutosh Gowariker,Sport/Drama,"Aamir Khan, Gracy Singh",8.1,2001,Villagers beat British in cricket
Swades,Ashutosh Gowariker,Social/Drama,"Shah Rukh Khan, Gayatri Joshi",8.2,2004,NASA scientist returns to India
Chak De! India,Shimit Amin,Sport/Drama,"Shah Rukh Khan, Vidya Malvade",8.2,2007,Women's hockey team coach
Jab We Met,Imtiaz Ali,Romance/Comedy,"Shahid Kapoor, Kareena Kapoor",7.9,2007,Road trip romance
Rockstar,Imtiaz Ali,Musical/Drama,"Ranbir Kapoor, Nargis Fakhri",7.7,2011,Musician's journey
Tamasha,Imtiaz Ali,Romance/Drama,"Ranbir Kapoor, Deepika Padukone",7.3,2015,Identity and love
Wake Up Sid,Ayan Mukerji,Romance/Drama,"Ranbir Kapoor, Konkona Sen",7.6,2009,Spoiled brat matures
Yeh Jawaani Hai Deewani,Ayan Mukerji,Romance/Comedy,"Ranbir Kapoor, Deepika Padukone",7.3,2013,Friendship and love
Dear Zindagi,Gauri Shinde,Social/Drama,"Alia Bhatt, Shah Rukh Khan",7.4,2016,Therapist helps young woman
English Vinglish,Gauri Shinde,Family/Drama,"Sridevi, Adil Hussain",7.8,2012,Housewife learns English
Kapoor & Sons,Shakun Batra,Family/Drama,"Rishi Kapoor, Fawad Khan",7.7,2016,Dysfunctional family reunion
Airlift,Raja Krishna Menon,Thriller/Drama,"Akshay Kumar, Nimrat Kaur",7.9,2016,Largest civilian evacuation
Baby,Neeraj Pandey,Action/Thriller,"Akshay Kumar, Danny Denzongpa",8.0,2015,Covert operation team
Rustom,Tinu Suresh Desai,Crime/Thriller,"Akshay Kumar, Ileana D'Cruz",7.2,2016,Naval officer revenge
M.S. Dhoni: The Untold Story,Neeraj Pandey,Biography/Sport,"Sushant Singh Rajput",7.8,2016,Cricketer's life
Bhaag Milkha Bhaag,Rakeysh Omprakash Mehra,Biography/Sport,"Farhan Akhtar",8.2,2013,Athlete Milkha Singh
Rang De Basanti,Rakeysh Omprakash Mehra,Social/Drama,"Aamir Khan, Siddharth",8.2,2006,Friends inspired by revolutionaries
Delhi Belly,Abhinay Deo,Comedy/Crime,"Imran Khan, Kunaal Roy Kapur",7.6,2011,Slacker comedy
Go Goa Gone,Raj Nidimoru,Comedy/Horror,"Saif Ali Khan, Kunal Khemu",7.0,2013,Zombie comedy in Goa
Vicky Donor,Shoojit Sircar,Comedy/Romance,"Ayushmann Khurrana, Yami Gautam",7.8,2012,Sperm donation comedy
Paan Singh Tomar,Tigmanshu Dhulia,Biography/Crime,"Irrfan Khan, Mahie Gill",8.2,2012,Athlete turned dacoit
Shanghai,Abhishek Chaubey,Political/Thriller,"Emraan Hashmi, Abhay Deol",7.7,2012,Political assassination
Ishqiya,Abhishek Chaubey,Crime/Romance,"Vidya Balan, Naseeruddin Shah",7.7,2010,Small-town crime romance
Kaminey,Vishal Bhardwaj,Crime/Thriller,"Shahid Kapoor, Priyanka Chopra",7.6,2009,Twin brothers in crime
Omkara,Vishal Bhardwaj,Crime/Drama,"Ajay Devgn, Saif Ali Khan",8.0,2006,Othello adaptation in UP
Maqbool,Vishal Bhardwaj,Crime/Drama,"Irrfan Khan, Tabu",8.1,2003,Macbeth adaptation in Mumbai
Black,Sanjay Leela Bhansali,Family/Drama,"Amitabh Bachchan, Rani Mukerji",8.1,2005,Deaf-blind girl and teacher
Guzaarish,Sanjay Leela Bhansali,Family/Drama,"Hrithik Roshan, Aishwarya Rai",7.5,2010,Quadriplegic seeks euthanasia
My Name Is Khan,Karan Johar,Social/Drama,"Shah Rukh Khan, Kajol",8.0,2010,Muslim man's journey in US
Kabhi Khushi Kabhie Gham,Karan Johar,Family/Drama,"Amitabh Bachchan, Shah Rukh Khan",7.4,2001,Family melodrama
Kal Ho Naa Ho,Nikkhil Advani,Romance/Drama,"Shah Rukh Khan, Preity Zinta",7.9,2003,Love and terminal illness
Veer-Zaara,Yash Chopra,Romance/Drama,"Shah Rukh Khan, Preity Zinta",7.8,2004,Cross-border love story
Jodhaa Akbar,Ashutosh Gowariker,Period/Romance,"Hrithik Roshan, Aishwarya Rai",7.6,2008,Mughal-Rajput marriage
Jab Tak Hai Jaan,Yash Chopra,Romance/Drama,"Shah Rukh Khan, Katrina Kaif",6.9,2012,Love triangle in London
Ae Dil Hai Mushkil,Karan Johar,Romance/Drama,"Ranbir Kapoor, Anushka Sharma",7.1,2016,Unrequited love
Rock On!!,Abhishek Kapoor,Musical/Drama,"Farhan Akhtar, Purab Kohli",7.8,2008,Band reunion
Kai Po Che!,Abhishek Kapoor,Sport/Drama,"Sushant Singh Rajput, Rajkummar Rao",7.7,2013,Friends open sports shop
Bombay Talkies,Multiple Directors,Anthology/Drama,"Multiple Cast",6.7,2013,100 years of Indian cinema
Lust Stories,Multiple Directors,Anthology/Drama,"Multiple Cast",6.9,2018,Four stories about desire
Ghost Stories,Multiple Directors,Anthology/Horror,"Multiple Cast",5.6,2020,Four horror stories
Gangubai Kathiawadi,Sanjay Leela Bhansali,Biography/Crime,"Alia Bhatt, Ajay Devgn",7.8,2022,Mumbai's madam life
The Kashmir Files,Vivek Agnihotri,Social/Drama,"Anupam Kher, Darshan Kumar",8.2,2022,Kashmiri Pandits exodus
RRR,S.S. Rajamouli,Action/Drama,"NTR Jr., Ram Charan",8.0,2022,Fictional freedom fighters
Brahmastra Part One,Ayan Mukerji,Fantasy/Action,"Ranbir Kapoor, Alia Bhatt",6.5,2022,Superhero mythology
Drishyam 2,Abhishek Pathak,Thriller/Crime,"Ajay Devgn, Akshaye Khanna",8.1,2022,Sequel to Drishyam
Vikram Vedha,Pushkar-Gayathri,Action/Thriller,"Hrithik Roshan, Saif Ali Khan",7.7,2022,Cop-gangster cat and mouse
Jawan,Atlee,Action/Thriller,"Shah Rukh Khan, Nayanthara",7.4,2023,Vigilante takes on system
Pathaan,Siddharth Anand,Action/Thriller,"Shah Rukh Khan, Deepika Padukone",7.2,2023,Spy universe film
Animal,Sandeep Reddy Vanga,Action/Crime,"Ranbir Kapoor, Rashmika Mandanna",7.1,2023,Dark family drama
Gadar 2,Anil Sharma,Action/Drama,"Sunny Deol, Ameesha Patel",6.8,2023,Sequel to cross-border love
Rocky Aur Rani Kii Prem Kahaani,Karan Johar,Romance/Comedy,"Ranveer Singh, Alia Bhatt",7.0,2023,Family romance
12th Fail,Vidhu Vinod Chopra,Biography/Drama,"Vikrant Massey, Medha Shankr",8.8,2023,IPS officer struggle
OMG 2,Amit Rai,Comedy/Drama,"Akshay Kumar, Pankaj Tripathi",8.1,2023,Sex education in schools
Satyaprem Ki Katha,Sameer Vidwans,Romance/Drama,"Kartik Aaryan, Kiara Advani",6.9,2023,Love and social issues
Dunki,Rajkumar Hirani,Comedy/Drama,"Shah Rukh Khan, Taapsee Pannu",7.1,2023,Immigration via donkey route
Salaar: Part 1,Prashanth Neel,Action/Thriller,"Prabhas, Prithviraj Sukumaran",7.1,2023,Rivalry and friendship
Fighter,Siddharth Anand,Action/Drama,"Hrithik Roshan, Deepika Padukone",7.3,2024,Air Force pilots
Article 370,Aditya Suhas Jambhale,Political/Thriller,"Yami Gautam, Priyamani",7.9,2024,Kashmir article removal
Laapataa Ladies,Kiran Rao,Comedy/Drama,"Nitanshi Goel, Pratibha Ranta",8.5,2024,Brides swapped in train
Amar Singh Chamkila,Imtiaz Ali,Biography/Musical,"Diljit Dosanjh, Parineeti Chopra",7.8,2024,Punjabi singer's life
Shaitaan,Vikas Bahl,Horror/Thriller,"Ajay Devgn, Madhavan",7.1,2024,Black magic thriller
Maidaan,Amit Sharma,Sport/Drama,"Ajay Devgn, Priyamani",8.0,2024,Indian football coach
Crew,Rajesh A Krishnan,Comedy/Heist,"Tabu, Kareena Kapoor",6.9,2024,Air hostesses heist
Kalki 2898 AD,Nag Ashwin,Sci-Fi/Action,"Prabhas, Deepika Padukone",7.8,2024,Mythological sci-fi
Stree 2,Amar Kaushik,Comedy/Horror,"Rajkummar Rao, Shraddha Kapoor",7.5,2024,Sequel to Stree
Singham Again,Rohit Shetty,Action/Crime,"Ajay Devgn, Akshay Kumar",6.5,2024,Third cop installment
Bhool Bhulaiyaa 3,Anees Bazmee,Comedy/Horror,"Kartik Aaryan, Vidya Balan",6.8,2024,Haunted mansion sequel
Pushpa 2,Sukumar,Action/Drama,"Allu Arjun, Rashmika Mandanna",8.0,2024,Red sanders smuggling
Baby John,A.L. Vijay,Action/Thriller,"Varun Dhawan, Keerthy Suresh",6.7,2024,Vigilante action
Khel Khel Mein,Mudassar Aziz,Comedy/Drama,"Akshay Kumar, Taapsee Pannu",7.0,2024,Marriage comedy
Vedaa,Nikkhil Advani,Action/Drama,"John Abraham, Sharvari",6.9,2024,Caste oppression action
Yodha,Sagar Ambre,Action/Thriller,"Sidharth Malhotra, Raashii Khanna",6.5,2024,Plane hijack drama
Teri Baaton Mein Aisa Uljha Jiya,Amit Joshi,Romance/Sci-Fi,"Shahid Kapoor, Kriti Sanon",6.3,2024,AI romance
Fight Club,Devang Dholakia,Action/Drama,"Ritvik Sahore, Vedang Raina",4.5,2024,College rivalry
Crakk,Siddharth Anand,Action/Sport,"Vidyut Jammwal, Nora Fatehi",5.8,2024,Extreme sports action
Murder Mubarak,Vikas Bahl,Thriller/Mystery,"Karisma Kapoor, Pankaj Tripathi",6.9,2024,Club murder mystery
Swatantra Veer Savarkar,Randeep Hooda,Biography/History,"Randeep Hooda, Mrinal Dutt",7.0,2024,Freedom fighter story
Main Atal Hoon,Pankaj Tripathi,Biography/Drama,"Pankaj Tripathi",6.8,2024,Atal Bihari Vajpayee
Fukrey 3,Mrighdeep Singh Lamba,Comedy/Drama,"Pulkit Samrat, Varun Sharma",6.2,2023,Fukrey gang returns
Dream Girl 2,Raaj Shaandilyaa,Comedy/Romance,"Ayushmann Khurrana, Ananya Panday",6.4,2023,Man turns woman
Jailer,Nelson Dilipkumar,Action/Thriller,"Rajinikanth, Mohanlal",7.1,2023,Retired officer's mission
Leo,Lokesh Kanagaraj,Action/Thriller,"Thalapathy Vijay, Sanjay Dutt",7.2,2023,History repeating
Jawan,Atlee,Action/Thriller,"Shah Rukh Khan, Nayanthara",7.4,2023,Vigilante father-son
Ghoomer,R. Balki,Sport/Drama,"Abhishek Bachchan, Saiyami Kher",7.2,2023,Cricket with one hand
Sam Bahadur,Meghna Gulzar,Biography/Drama,"Vicky Kaushal, Fatima Sana Shaikh",7.7,2023,Field Marshal Manekshaw
Berlin,Atul Sabharwal,Thriller/Drama,"Aparshakti Khurrana, Ishwak Singh",7.5,2023,Sign language interpreter
Kho Gaye Hum Kahan,Arjun Varain Singh,Social/Drama,"Siddhant Chaturvedi, Ananya Panday",7.6,2023,Friends and social media
Joram,Zunurachen Ma,Thriller/Drama,"Manoj Bajpayee",7.3,2023,Man on the run with baby
Sirf Ek Bandaa Kaafi Hai,Apoorv Singh Karki,Legal/Drama,"Manoj Bajpayee",8.1,2023,Lawyer fights godman
Gulmohar,Shonali Bose,Family/Drama,"Sharmila Tagore, Manoj Bajpayee",7.9,2023,Family relocating
Qala,B Ananthakrishnan,Psychological/Drama,"Tripti Dimri, Babil Khan",7.6,2022,Singer's mental trauma
An Action Hero,Anirudh Iyer,Action/Thriller,"Ayushmann Khurrana, Jaideep Ahlawat",7.2,2022,Action star on the run
Monica O My Darling,Vasan Bala,Crime/Comedy,"Rajkummar Rao, Huma Qureshi",7.5,2022,Corporate murder mystery
Darlings,Jasmeet K Reen,Black Comedy,"Alia Bhatt, Shefali Shah",7.4,2022,Abused wife revenge
Badhaai Do,Harshavardhan Kulkarni,Comedy/Drama,"Rajkummar Rao, Bhumi Pednekar",7.6,2022,Lavender marriage
Gehraiyaan,Shakun Batra,Romance/Drama,"Deepika Padukone, Siddhant Chaturvedi",6.8,2022,Complex relationships
Jalsa,Suresh Triveni,Social/Drama,"Vidya Balan, Shefali Shah",7.1,2022,Hit-and-run case
A Thursday,P. V. Shankar,Thriller/Drama,"Yami Gautam, Atul Kulkarni",7.2,2022,Teacher holds students hostage
Rashmi Rocket,Akarsh Khurana,Sport/Drama,"Taapsee Pannu, Priyanshu Painyuli",7.2,2021,Gender testing in sports
Sherni,Amit Masurkar,Social/Drama,"Vidya Balan, Vijay Raaz",7.6,2021,Forest officer vs poachers
Pagglait,Umesh Bist,Comedy/Drama,"Sanya Malhotra, Shruti Sharma",7.4,2021,Widow's new life
Sandeep Aur Pinky Faraar,Dibakar Banerjee,Thriller/Drama,"Parineeti Chopra, Arjun Kapoor",6.9,2021,Bankers on the run
Mumbai Saga,Sanjay Gupta,Action/Crime,"John Abraham, Emraan Hashmi",6.3,2021,Gangster saga 80s-90s
Mimi,Laxman Utekar,Comedy/Drama,"Kriti Sanon, Pankaj Tripathi",7.7,2021,Surrogacy comedy-drama
Thalaivii,A.L. Vijay,Biography/Drama,"Kangana Ranaut, Arvind Swami",6.7,2021,Jayalalithaa's life
83,Kabir Khan,Sport/Drama,"Ranveer Singh, Deepika Padukone",8.1,2021,India's cricket world cup win
Sooryavanshi,Rohit Shetty,Action/Crime,"Akshay Kumar, Katrina Kaif",6.5,2021,Terrorist plot in Mumbai
Sardar Udham,Shoojit Sircar,Biography/History,"Vicky Kaushal, Banita Sandhu",8.3,2021,Udham Singh's revenge
Shershaah,Vishnuvardhan,Biography/War,"Sidharth Malhotra, Kiara Advani",8.3,2021,Kargil hero Capt. Vikram Batra
Bell Bottom,Ranjit M Tewari,Action/Thriller,"Akshay Kumar, Vaani Kapoor",6.8,2021,RAW agent rescues plane
Chandigarh Kare Aashiqui,Abhishek Kapoor,Romance/Drama,"Ayushmann Khurrana, Vaani Kapoor",6.8,2021,Transgender romance
Atrangi Re,Aanand L. Rai,Romance/Drama,"Dhanush, Akshay Kumar",6.7,2021,Love triangle fantasy
Angrezi Medium,Homi Adajania,Family/Drama,"Irrfan Khan, Radhika Madan",7.6,2020,Daughter wants to study abroad
Thappad,Anubhav Sinha,Social/Drama,"Taapsee Pannu, Pavail Gulati",7.9,2020,Woman's self-respect after slap
Gulabo Sitabo,Shoojit Sircar,Comedy/Drama,"Amitabh Bachchan, Ayushmann Khurrana",6.7,2020,Landlord-tenant comedy
Dil Bechara,Mukesh Chhabra,Romance/Drama,"Sushant Singh Rajput, Sanjana Sanghi",8.1,2020,The Fault in Our Stars adaptation
Shakuntala Devi,Anu Menon,Biography/Drama,"Vidya Balan, Sanya Malhotra",7.0,2020,Human computer's life
Chhalaang,Hansal Mehta,Comedy/Drama,"Rajkummar Rao, Nushrratt Bharuccha",6.6,2020,PT teacher's journey
Lootcase,Rajesh Krishnan,Comedy/Crime,"Kunal Kemmu, Rasika Dugal",7.5,2020,Man finds money bag
Khuda Haafiz,Faruk Kabir,Action/Thriller,"Vidyut Jammwal, Shivaleeka Oberoi",7.2,2020,Husband rescues wife
Panga,Ashwiny Iyer Tiwari,Sport/Drama,"Kangana Ranaut, Richa Chadha",7.1,2020,Ex-kabaddi player comeback
Shubh Mangal Zyada Saavdhan,Hitesh Kewalya,Comedy/Romance,"Ayushmann Khurrana, Jitendra Kumar",6.8,2020,Gay love story
Tanhaji: The Unsung Warrior,Om Raut,Action/History,"Ajay Devgn, Saif Ali Khan",7.6,2020,Maratha warrior's story
Chhapaak,Meghna Gulzar,Social/Drama,"Deepika Padukone, Vikrant Massey",7.2,2020,Acid attack survivor
Malang,Mohit Suri,Action/Romance,"Aditya Roy Kapur, Disha Patani",6.4,2020,Revenge thriller
Jawaani Jaaneman,Nitish Tiwari,Comedy/Drama,"Saif Ali Khan, Tabu",6.9,2020,Playboy meets daughter
